Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-02-23,41.10201,42.30217,40.09768,41.29534,403009
2001-02-26,42.30217,42.70641,39.90686,39.90686,187135
2001-02-27,39.81145,39.81145,34.99822,34.99822,245270
2001-02-28,32.79875,38.11163,31.50568,37.60946,988286
2001-03-01,34.49606,36.79596,34.49606,34.80991,342397
2001-03-02,34.90281,35.78913,33.80307,34.59147,148196
2001-03-05,34.80991,35.50289,33.30091,33.30091,101450
2001-03-06,33.89597,34.80991,32.20117,34.80991,264400
2001-03-07,34.08931,34.08931,32.60541,32.60541,91208
2001-03-08,31.90992,32.51,30.30551,30.81269,129096
2001-03-09,29.30119,29.30119,27.29002,27.29002,242972
2001-03-12,25.30397,26.59704,24.49047,24.7064,159978
2001-03-13,24.20172,26.78786,24.20172,26.78786,366250
2001-03-14,27.19712,29.80335,26.3083,29.80335,720118
2001-03-15,32.60541,33.80307,30.90308,33.80307,818683
2001-03-16,34.39813,34.99822,29.58993,30.30551,1526612
2001-03-19,28.38976,32.29407,28.38976,30.30551,231816
2001-03-20,31.00101,31.6965,30.81269,30.81269,128606
2001-03-21,30.30551,31.09642,29.49452,29.49452,114920
2001-03-22,29.30119,29.49452,28.10604,29.49452,76946
2001-03-23,31.00101,31.00101,29.58993,29.58993,103161
2001-03-26,29.30119,30.30551,29.20828,29.20828,54433
2001-03-27,29.80335,29.80335,28.89443,28.98984,53141
2001-03-28,29.30119,29.49452,28.79902,29.20828,41468
2001-03-29,28.51279,28.89443,28.29435,28.29435,29727
2001-03-30,28.79902,28.79902,27.0992,27.0992,68547
2001-04-02,27.19712,27.19712,25.71323,26.3083,29416
2001-04-03,25.39938,25.5902,24.7064,25.30397,49282
2001-04-04,24.7993,26.40371,24.61099,25.5902,94963
2001-04-05,26.59704,27.00379,25.99947,27.00379,87956
2001-04-06,27.50595,27.50595,26.78786,26.90587,98666
2001-04-09,27.00379,27.79219,26.40371,27.50595,87404
2001-04-10,27.8876,29.20828,27.29002,27.8876,154710
2001-04-11,28.51279,28.79902,27.8876,28.38976,113898
2001-04-12,28.51279,28.51279,27.60136,27.8876,51041
2001-04-17,27.29002,27.29002,26.1928,26.3083,43648
2001-04-18,26.90587,27.8876,26.59704,27.8876,159896
2001-04-19,28.89443,29.11036,27.8876,28.29435,159845
2001-04-20,28.20145,28.70612,27.8876,28.51279,86973
2001-04-23,27.60136,27.8876,27.60136,27.60136,51399
2001-04-24,27.8876,28.20145,27.29002,27.41054,49580
2001-04-25,27.29002,27.69929,27.0992,27.60136,21247
2001-04-26,27.8876,28.20145,27.69929,28.20145,43490
2001-04-27,28.01063,28.70612,27.60136,28.70612,78058
2001-04-30,28.70612,30.09209,28.70612,29.11036,129620
2001-05-02,29.11036,29.89876,28.89443,29.20828,66322
2001-05-04,29.11036,29.11036,28.10604,28.51279,56869
2001-05-07,28.79902,29.20828,28.10604,28.10604,37939
2001-05-08,27.79219,27.79219,26.50163,26.69496,65484
2001-05-09,25.30397,25.49479,24.29714,24.49047,119318
2001-05-10,24.61099,25.71323,24.10631,25.71323,131294
2001-05-11,25.30397,25.99947,24.99263,25.21107,58268
2001-05-14,25.21107,25.21107,24.29714,24.39255,55773
2001-05-15,24.61099,24.89471,23.79497,23.89038,108260
2001-05-16,23.50949,23.50949,22.7904,23.38747,100166
2001-05-17,24.39255,24.39255,23.50949,23.79497,67683
2001-05-18,23.69981,24.01341,23.60465,23.60465,9211
2001-05-21,23.69981,24.20172,23.69981,24.10631,29764
2001-05-22,24.39255,25.21107,24.39255,24.7064,113424
2001-05-23,24.39255,24.7064,24.10631,24.10631,58454
2001-05-24,24.20172,24.20172,23.89038,23.89038,66347
2001-05-25,24.20172,24.20172,23.29231,23.29231,30618
2001-05-28,23.19715,23.60465,23.19715,23.38747,22213
2001-05-29,23.38747,24.10631,23.38747,23.69981,17365
2001-05-30,23.38747,23.60465,23.10098,23.19715,15908
2001-05-31,23.10098,23.10098,22.69423,22.7904,59321
2001-06-01,22.69423,22.69423,22.00024,22.50291,66102
2001-06-04,22.09591,22.09591,20.70743,20.70743,64598
2001-06-05,20.49225,20.70743,19.55848,20.20476,117663
2001-06-06,20.39659,20.99491,19.98958,19.98958,122693
2001-06-07,19.60643,20.20476,18.79243,19.60643,121798
2001-06-08,19.7498,20.20476,18.88809,18.88809,120510
2001-06-11,18.79243,18.84039,18.40953,18.55315,118527
2001-06-12,18.45724,19.29509,18.45724,19.19918,88789
2001-06-13,19.7021,20.49225,19.55848,20.20476,121469
2001-06-15,20.61176,21.40192,19.79776,20.99491,99877
2001-06-18,20.80334,21.68915,20.30042,21.49758,107877
2001-06-19,21.59349,22.09591,20.899,22.00024,87670
2001-06-20,21.68915,23.69981,21.68915,23.38747,153695
2001-06-21,23.79497,25.49479,23.69981,25.39938,236721
